tasks,completion_rate,high_priority_completion_rate,travel_distance,energy_utilisation,compute_utilisation,fairness,overloaded,runtime
10,1.0,1.0,33276.18421934639,0.22762275826144673,0.2065304630316014,0.8333333333333334,0.0,2.246113666682504
20,1.0,1.0,51999.505892538386,0.3856024911196951,0.44122900568680484,0.9302325581395349,0.0,2.590335700001257
30,0.9666666666666667,1.0,65100.806187797185,0.4955217792297805,0.602348428902016,0.81256038647343,2.0,2.7513145667035133
40,0.975,1.0,78707.33685501944,0.635892019555571,0.6695623248178371,0.8666666666666667,3.0,2.9204997999671227
50,0.64,0.6428571428571429,119559.23210143104,0.7135836207963216,0.7427274545129636,0.9928205128205129,4.0,3.1526058333305023
60,0.7666666666666667,1.0,76002.18953526985,0.6658389785427133,0.7039239746001532,0.9531531531531532,3.0,3.5111766000045463
80,0.525,0.8333333333333334,98256.24328167022,0.690080212277009,0.885718075220992,0.9691756272401434,4.0,4.116428266706255
100,0.38000000000000006,0.6896551724137931,96917.78255392287,0.6784845401755722,0.7244723093026266,0.9475409836065575,4.0,4.6728597333809985
